model,dataset,baseline,arrival_rate_rps,normalized_latency_mean,normalized_latency_p50,normalized_latency_p90,normalized_latency_p95,normalized_internal_latency_mean,normalized_internal_latency_p50,normalized_internal_latency_p90,normalized_internal_latency_p95,achieved_request_throughput_rps,achieved_output_throughput_tps,latency_from_arrival_mean_s,latency_internal_mean_s,input_tokens_mean,output_tokens_mean
opt-1.3b,humaneval,CPU-Attention,0.1,2.1101100099583467,2.0275208950042725,2.7546246752142904,2.857361555844546,1.4110734930468931,1.4153432101011276,2.0960096538066866,2.12133421972394,0.09926878161669545,1.5535564323012838,33.256829988956454,22.362157189846037,204.45,15.65
opt-1.3b,humaneval,CPU-Attention,0.15,2.3823328412241405,2.229659676551819,3.4651572331786165,3.9767240189015864,1.8746486776404911,2.045868769288063,2.5617357239127156,2.5796656966209413,0.1347986714519405,2.1095992082228685,37.7807057261467,29.758758008480072,204.45,15.65
opt-1.3b,humaneval,CPU-Attention,0.2,3.3608812304006683,3.102505750954151,5.355255715548992,5.403715675324202,2.590145723273357,2.8382070884108543,3.630116724967958,4.303635845333338,0.14907481718262078,2.3330208889080155,53.41857987642288,41.151567018032075,204.45,15.65
opt-1.3b,humaneval,CPU-Attention,0.25,4.179158063232899,4.6818376034498215,5.780023711919785,6.371194388717413,3.2619900815188885,3.4679588973522186,4.3893729805946355,4.82359306961298,0.15562594672430208,2.4355460662353274,66.4709557056427,51.84087657928467,204.45,15.65
opt-1.3b,humaneval,CPU-Attention,0.3,4.639979710181554,5.107030600309372,6.220359627902508,6.359650506824255,3.607854024403625,3.7780557051301003,4.634578761458398,4.807958886027336,0.16509144636675818,2.5836811356397655,73.55848189592362,57.29711399078369,204.45,15.65
opt-1.3b,humaneval,CPU-Attention,0.35,4.9663050685491825,5.506682842969894,6.4609856605529785,6.580435433238745,4.04591874529918,4.438248425722122,5.255527792870999,5.298312023282052,0.1640576542003823,2.567502288235983,78.87692654132843,64.28612142801285,204.45,15.65
opt-1.3b,humaneval,CPU-Attention,0.4,5.117741414242321,5.667302295565605,6.50229142010212,6.606860828399658,4.3289978125856985,4.71860708296299,5.508974440395832,5.650286606699228,0.166315908878708,2.6028439739517806,81.32263320684433,68.70384855270386,204.45,15.65
opt-1.3b,humaneval,CPU-Attention,0.5,6.1373321305546495,6.185339652001858,6.794721585512162,7.357801539782025,4.849492872754733,5.076444298028946,5.938721805810928,6.028207347542048,0.168338444467003,2.6344966559085967,93.88942512273789,76.33762642145157,204.45,15.65
opt-1.3b,humaneval,CPU-Attention,0.6,6.263889545036687,6.298613652586937,6.806401002407074,7.320044244660275,5.007033367455006,5.29291220754385,6.209241563081742,6.315977526456118,0.1704823229432634,2.6680483540620723,95.92041721343995,78.71676803827286,204.45,15.65
opt-1.3b,humaneval,CPU-Attention,0.8,6.749304378943311,6.495152965188026,7.0722364977002155,7.510787307636609,5.3650803095764585,5.5453063464827,6.26456855982542,6.584273701906204,0.17224793509139896,2.695680184180394,103.6687869668007,83.88507908582687,204.45,15.65
opt-1.3b,longbench-qasper,AFD,0.1,5.795063987076283,2.800857146581014,16.526762819290163,16.858366823196413,1.5723382867541578,1.4235572735468547,2.4933747053146362,2.5378931999206547,0.1232938901240868,0.8568925363624033,15.8798872590065,7.603056108951568,512.0,6.95
opt-1.3b,longbench-qasper,AFD,0.15,4.642616975588931,3.0536339918772377,11.3577915430069,14.05774428844452,1.6578776689370474,1.5291203101476034,2.542577314376831,2.5673004150390626,0.17429747288457323,1.211367436547784,14.449120688438416,8.233084750175475,512.0,6.95
opt-1.3b,longbench-qasper,AFD,0.2,4.15901092885269,3.112944682439168,8.561597585678104,11.17458212375641,1.7089098873568906,1.6742383639017742,2.525654911994934,2.5527799248695375,0.22023867232128644,1.5306587726329406,14.056403160095215,8.705743443965911,512.0,6.95
